Total number of words and of relevant words only of each book in each translation:
Book,Language,All Words,Relevant Words
ACC,EN,30023,14156
,FI,23074,15671
,GE,27182,13020
,DU,31777,15983
,FR,35068,17637
KSM,EN,83521,39510
,FI,49074,34737
,PT,58755,32350
OT,EN,162313,76262
,GE,120206,58684
,FR,169995,83919
TATS,EN,74399,34649
,FI,58442,39125
,GE,67686,33343
,CA,77909,36342

Total number of bytes used by the values on each individual counter of each solution:
,EC,ACFP,ACLP
All Words,5116614,4886294,4797502
Top 10 Words,40899,22916,6635
